-5175 -2850
-3975 -3225
-3975 -3225
-4725 -6900
-4725 -6900
-5850 -6825
-5775 -6825
-5100 -2850
-1800 -4575
-2250 -6900
-2250 -6900
-4650 -6825
-3000 -6975
-3525 -7275
-4575 -7200
-5250 -6900
-3450 -7275
-2775 -7425
-2775 -7425
-2775 -7650
-4575 -7275
-5400 -7425
-5400 -7425
-5400 -7650
-2325 -7725
-5775 -7725
-5775 -7725
-5775 -8925
-2325 -7725
-2325 -8925
-2325 -8925
-5850 -8925
-6000 -7800
-5925 -8925
-5925 -8925
-7950 -8925
-5925 -7800
-8100 -8325
-6225 -7875
-6225 -7650
-6375 -7575
-6525 -7650
-6525 -7875
-6525 -7950
-6600 -7950
-6600 -7725
-6675 -7725
-6825 -7725
-6900 -7800
-6900 -8025
-7125 -8025
-7125 -7875
-7200 -7875
-7275 -7875
-7425 -7950
-7350 -8100
-7575 -8175
-7500 -7950
-7650 -7950
-7875 -8025
-7875 -8250
-9825 -3675
-9750 -3900
-9750 -4350
-9975 -4725
-10275 -4950
-10800 -4950
-11175 -4500
-11250 -3600
-11025 -3150
-10575 -2625
-10050 -2250
-9375 -2175
-8850 -2175
-8475 -2325
-8250 -2775
-8175 -3150
-8025 -3300
-7650 -3600
-7275 -3900
-6975 -4275
-6825 -4800
-6900 -5325
-7200 -5625
-7575 -5850
-8175 -5850
-8700 -5775
-9075 -5700
-8175 -2925
-8100 -2925
-8025 -3000
-8250 -3900
-8475 -4050
-8475 -4125
-8325 -4050
-8325 -3975
-9150 -5700
-9225 -6000
-6975 -5475
-6825 -5475
-6675 -5625
-6675 -5925
-6825 -6075
-7050 -6075
-7200 -5925
-7200 -5700
-10125 -2925
-9900 -3225
-9900 -3675
-9900 -4200
-10050 -4575
-10275 -4725
-10725 -4800
-10950 -4575
-11100 -4275
-11100 -3900
-10950 -3450
-10725 -3075
-10575 -2850
-10350 -2775
-10125 -4950
-9975 -5175
-9900 -5400
-9900 -5850
-9000 -6150
-9975 -5850
-9900 -5925
-9900 -6150
-10050 -6525
-10275 -6825
-10350 -7350
-10425 -7650
-10425 -8175
-10350 -8550
-10125 -8925
-9825 -9225
-9600 -9225
-9300 -9225
-8625 -9300
-8250 -9300
-8025 -9225
-7875 -8925
-7950 -8550
-8175 -8100
-8325 -7725
-8475 -7500
-8625 -7275
-8925 -7125
-9150 -7125
-9225 -7350
-9375 -7575
-9375 -7875
-9300 -8025
-9225 -8250
-9150 -8475
-9375 -8475
-9675 -8475
-9825 -8475
-9825 -6975
-9675 -7200
-9450 -7425
-9300 -7500
-10275 -8775
-10650 -8775
-11025 -8775
-11250 -8775
-11400 -8925
-11625 -9000
-11850 -8925
-11925 -8925
-11850 -9075
-11625 -9225
-11325 -9225
-11025 -9300
-10575 -9300
-10275 -9300
-10050 -9225
-9975 -9150
-10125 -6600
-10125 -6900
-10050 -7425
-10125 -7875
-10350 -8250
-8550 -7350
-8775 -7425
-8850 -7500
-8850 -7575
-8325 -7800
-8475 -7725
-8625 -7800
-8625 -7875
-8400 -7575
-8325 -7500
-8175 -7650
-8100 -7950
-8025 -8175
-9225 -6225
-8775 -6525
-8475 -6675
-9225 -6150
-9225 -6450
-9150 -6525
-9300 -6525
-9075 -6675
-8775 -6750
-8550 -6825
-8475 -6750
-8325 -6600
-8250 -6450
-8025 -6375
-7875 -6450
-7800 -6525
-7800 -6675
-7800 -6750
-8100 -6750
-7875 -6825
-7800 -6975
-7875 -7125
-7950 -7200
-8175 -7125
-8175 -7050
-8025 -7200
-7950 -7275
-8025 -7500
-8250 -7500
-8325 -7350
-8400 -7425
-8475 -7425
-7725 -6525
-7650 -6525
-7500 -6450
-7350 -6525
-7275 -6600
-7275 -6825
-7425 -6900
-7500 -6825
-7425 -6825
-7275 -6975
-7275 -7125
-7350 -7275
-7500 -7275
-7650 -7125
-7725 -7125
-7575 -7125
-7575 -7350
-7725 -7425
-7875 -7425
-8025 -7350
-7950 -7350
-3975 -3375
-1800 -4575
